Date,Pot,SubPot,EC,pH,Leaves Count,Longest Leaf,Plant Height(mm)
14/9/2023,2,1,16,8.2,3,3,13
14/9/2023,2,2,16,8.2,3,5,14
14/9/2023,2,3,16,8.2,4,8,17
14/9/2023,2,4,16,8.2,4,11,20
14/9/2023,2,5,16,8.2,4,4,9
14/9/2023,2,6,16,8.2,4,11,19
14/9/2023,2,7,16,8.2,3,9,21
14/9/2023,2,8,16,8.2,4,14,30
14/9/2023,2,9,16,8.2,3,5,11
14/9/2023,2,10,16,8.2,3,6,12
14/9/2023,2,11,16,8.2,4,4,15
14/9/2023,2,12,16,8.2,4,7,17
14/9/2023,2,13,16,8.2,3,3,11
14/9/2023,2,14,16,8.2,4,7,18
14/9/2023,2,15,16,8.2,4,12,24
14/9/2023,2,16,16,8.2,4,14,24
14/9/2023,2,17,16,8.2,3,4,13
14/9/2023,2,18,16,8.2,3,7,14
14/9/2023,2,19,16,8.2,4,8,15
14/9/2023,2,20,16,8.2,4,9,19
14/9/2023,2,21,16,8.2,4,6,12
14/9/2023,2,22,16,8.2,4,13,23
14/9/2023,2,23,16,8.2,4,6,16
14/9/2023,2,24,16,8.2,4,6,15
14/9/2023,2,25,16,8.2,3,5,15
14/9/2023,2,26,16,8.2,3,5,11
14/9/2023,2,27,16,8.2,4,7,13
14/9/2023,2,28,16,8.2,4,5,14
14/9/2023,2,29,16,8.2,4,8,14
14/9/2023,2,30,16,8.2,4,4,12
14/9/2023,2,31,16,8.2,4,5,13
14/9/2023,2,32,16,8.2,3,9,21
14/9/2023,2,33,16,8.2,3,7,16
14/9/2023,2,34,16,8.2,4,5,11
14/9/2023,2,35,16,8.2,3,5,14
14/9/2023,2,36,16,8.2,4,8,17
14/9/2023,2,37,16,8.2,4,5,11
14/9/2023,2,38,16,8.2,3,5,12
14/9/2023,2,39,16,8.2,4,5,14
14/9/2023,2,40,16,8.2,4,7,16
15/9/2023,1,1,16,8.2,4,14,19
15/9/2023,1,2,16,8.2,4,10,16
15/9/2023,1,3,16,8.2,4,7,12
15/9/2023,1,4,16,8.2,4,15,22
15/9/2023,1,5,16,8.2,4,9,15
15/9/2023,1,6,16,8.2,4,14,21
15/9/2023,1,7,16,8.2,5,18,29
15/9/2023,1,8,16,8.2,4,13,21
15/9/2023,1,9,16,8.2,4,14,24
15/9/2023,1,10,16,8.2,4,12,19
15/9/2023,1,11,16,8.2,3,8,13
15/9/2023,1,12,16,8.2,4,15,20
15/9/2023,1,13,16,8.2,4,9,18
15/9/2023,1,14,16,8.2,4,13,23
15/9/2023,1,15,16,8.2,5,17,29
15/9/2023,1,16,16,8.2,5,13,26
15/9/2023,1,17,16,8.2,4,11,20
15/9/2023,1,18,16,8.2,4,9,14
15/9/2023,1,19,16,8.2,4,9,14
15/9/2023,1,20,16,8.2,4,14,21
15/9/2023,1,21,16,8.2,4,11,19
15/9/2023,1,22,16,8.2,4,15,24
15/9/2023,1,23,16,8.2,4,13,26
15/9/2023,1,24,16,8.2,5,12,20
15/9/2023,1,25,16,8.2,4,12,20
15/9/2023,1,26,16,8.2,4,9,16
15/9/2023,1,27,16,8.2,4,9,14
15/9/2023,1,28,16,8.2,4,13,22
15/9/2023,1,29,16,8.2,5,8,13
15/9/2023,1,30,16,8.2,4,12,20
15/9/2023,1,31,16,8.2,5,17,25
15/9/2023,1,32,16,8.2,4,13,23
15/9/2023,1,33,16,8.2,4,17,27
15/9/2023,1,34,16,8.2,4,15,24
