week,Plot,plantHeight,NoOfTiller,NoOfPanicle,NoOfSpikelet,NoOfFilledGrain,NoOfUnfilledGrain,WeightGrain,PreplantHeight,PreNoOfTiller,PreNoOfPanicle,PreNoOfSpikelet,PreNoOfFilledGrain,PreNoOfUnfilledGrain,PreWeightGrain,TarplantHeight,TarNoOfTiller,TarNoOfPanicle,TarNoOfSpikelet,TarNoOfFilledGrain,TarNoOfUnfilledGrain,TarWeightGrain
9,7,1.017494,0.551497,11.05113,0.658194,21.72129,12.88063,14.62224,0,0,0,0,0,0,0,3.949178,5.057313,42.32362,4.39242,74.4618,74.25237,55.3595
9,8,1.107565,0.622666,11.98962,0.704712,23.77485,14.31156,15.80839,0,0,0,0,0,0,0,3.941841,5.051573,42.33152,4.400337,74.49317,74.46154,55.43201
10,1,4.063027,5.207929,43.36919,4.465697,76.51832,58.07427,56.99952,0,0,0,0,0,0,0,4.088548,5.236589,43.57046,4.484906,76.98706,76.98223,57.33566
10,2,4.318408,5.459386,45.14161,4.68833,81.10823,61.4389,59.91838,0,0,0,0,0,0,0,4.339354,5.491726,45.442,4.707103,81.56027,81.53304,60.27983
10,3,3.272893,1.936644,3.254997,3.440248,32.60019,23.44081,33.98071,0,0,0,0,0,0,0,4.438905,5.610825,46.11052,4.806122,83.95018,83.9031,61.49467
10,4,4.510918,5.719021,46.8631,4.887525,85.37102,64.8263,62.9955,0,0,0,0,0,0,0,4.531565,5.748715,47.06846,4.912703,86.06852,85.79653,63.30328
10,5,3.447307,2.043817,3.436742,3.635586,34.28443,24.71031,35.93957,0,0,0,0,0,0,0,4.592173,5.88974,47.99283,4.996135,87.85144,88.00469,64.57702
10,6,3.62578,2.121791,3.591467,3.812217,36.278,26.17844,37.63319,0,0,0,0,0,0,0,4.58994,5.893117,48.00573,4.997998,87.95937,87.82869,64.42907
10,7,1.208517,0.683683,12.916,0.758072,26.32608,15.3777,17.05734,0,0,0,0,0,0,0,4.590192,5.892371,47.94245,5.001345,88.01809,87.90767,64.43892
10,8,1.330921,0.739674,14.21031,0.799277,28.63872,16.47507,18.45579,0,0,0,0,0,0,0,4.586237,5.892672,48.00907,4.996847,87.88378,87.83767,64.48054
11,1,4.699093,6.053392,49.11504,5.085407,90.31952,67.92894,65.75134,0,0,0,0,0,0,0,4.722243,6.083952,49.3676,5.113103,90.87803,90.76725,66.04714
11,2,4.992605,6.343903,51.49974,5.307993,94.95499,72.06698,68.28006,0,0,0,0,0,0,0,5.017868,6.36701,51.75313,5.32915,95.53288,95.42316,68.62944
11,3,3.799896,2.212759,3.786406,3.98578,38.51139,27.06365,39.58852,0,0,0,0,0,0,0,5.11782,6.525691,52.77003,5.412233,97.59458,97.49431,70.2767
11,4,5.262777,6.641063,53.76326,5.495689,99.53426,75.30661,70.96749,0,0,0,0,0,0,0,5.281484,6.669937,53.99326,5.524965,99.87864,100.009,71.31413
11,5,3.949762,2.304415,3.970978,4.16358,40.47782,28.42481,41.17193,0,0,0,0,0,0,0,5.420011,6.799335,54.77149,5.594234,101.7533,101.8735,72.00544
11,6,4.15803,2.427161,4.133409,4.381527,42.11287,29.63978,42.31305,0,0,0,0,0,0,0,5.426468,6.798388,54.78671,5.589295,101.7949,101.7638,71.98369
11,7,1.436736,0.796042,15.36459,0.861398,30.50018,17.69434,19.85921,0,0,0,0,0,0,0,5.428607,6.798056,54.71966,5.597827,101.7246,101.7669,72.01997
11,8,1.527822,0.851456,16.53345,0.909408,32.06871,18.8847,21.08818,0,0,0,0,0,0,0,5.425394,6.79488,54.76113,5.587587,101.6804,101.764,72.09006
12,1,5.586376,6.951021,56.15912,5.655567,103.6905,77.91291,73.36006,0,0,0,0,0,0,0,5.606448,6.974602,56.36237,5.68074,104.0459,104.0732,73.68596
12,2,5.83407,7.226391,58.6787,5.884989,108.2806,81.80641,76.62518,0,0,0,0,0,0,0,5.855102,7.252129,58.91874,5.904697,108.7289,108.7915,77.0359
12,3,4.263362,2.564012,4.276729,4.548412,43.72543,30.71477,43.99386,0,0,0,0,0,0,0,5.951231,7.404955,59.64583,6.055918,110.4157,110.4236,78.31138
12,4,6.054689,7.521467,60.52215,6.172074,112.1459,85.97816,79.62456,0,0,0,0,0,0,0,6.07531,7.553724,60.71267,6.188883,112.4988,112.694,79.97348
12,5,4.416256,2.671767,4.455302,4.684663,45.28212,31.99027,45.54697,0,0,0,0,0,0,0,6.191807,7.680442,61.63841,6.321281,114.8096,114.7085,81.47408
12,6,4.631356,2.783539,4.662282,4.817872,46.95184,33.38937,47.10147,0,0,0,0,0,0,0,6.191364,7.680397,61.6009,6.324043,114.743,114.7693,81.5141
12,7,1.620092,0.893421,17.58294,0.967883,33.94803,20.20264,22.26828,0,0,0,0,0,0,0,6.181086,7.681501,61.58968,6.330559,114.7332,114.7931,81.55415
